name,chinese_rating,chinese_count,all_rating,all_count,lat,lng,zip,neighborhood,borough,city,state,is_flushing,place_id
For U,4.553191489,47,4.8,260,40.7342083,-73.9862166,10003,,Manhattan,New York,NY,FALSE,ChIJEwtiv1FZwokR4nfSX_iCcUw
empire express,4.2,5,4.8,235,40.8313747,-73.8272283,10465,East Bronx,The Bronx,,NY,FALSE,ChIJ0Y_bgTiLwokRwiSn5vbYy-Q
Chinese Gourmet,5,1,4.7,118,40.8526175,-73.9200799,10453,Morris Heights,The Bronx,,NY,FALSE,ChIJOQnFpxH0wokRpOynd_51WWw
Eastern Chinese Style,5,3,4.7,123,40.833896,-73.915092,10456,Concourse Village,The Bronx,,NY,FALSE,ChIJz8uSgzf0wokRLXcUdvnQXuY
Aanch Indian & Asian Fusion,5,6,4.7,425,40.7374625,-73.7099733,11004,Floral Park,Queens,,NY,FALSE,ChIJEw5lDLljwokRfu5D0-znLdA
JiBeiChuan Noodles(Flushing)季北川花胶汤米粉 (法拉盛店),4.883852691,353,4.7,781,40.7598978,-73.8326465,11354,Flushing,Queens,,NY,TRUE,ChIJA4PaHX9hwokRJiJK0tEIfJs
Ji Bei Chuan Noodles 季北川 BK 86,4.875,136,4.7,340,40.6011834,-73.9929488,11214,,Brooklyn,,NY,FALSE,ChIJZWHpAQBFwokRsiCxH_eTMOA
Super Taste,4.84375,32,4.7,228,40.7718429,-73.9527208,10075,,Manhattan,New York,NY,FALSE,ChIJHfzYFAxZwokRlDntl0_Yab8
Dim Sum Sam,4.841911765,544,4.7,1919,40.740559,-73.9878058,10010,,Manhattan,New York,NY,FALSE,ChIJU6xu8H5ZwokRZGryaPME3TA
Old Sport Food,4.833333333,78,4.7,371,40.7242182,-73.8553523,11375,Forest Hills,Queens,,NY,FALSE,ChIJ8zYw_-VfwokRfMz25U3CbGM
O Ramen & Dim Sum M Yuki Sushi,4.823529412,17,4.7,252,40.7160932,-73.9923491,10002,,Manhattan,New York,NY,FALSE,ChIJcyP529hZwokR30axJSxdIZ8
Xie Bao Flushing 蟹寶,4.822102426,371,4.7,681,40.7588367,-73.8331334,11354,Flushing,Queens,,NY,TRUE,ChIJw9v2VQBhwokRFqwgp_ITfG8
Sky Pavilion 川雲涧,4.812182741,197,4.7,437,40.7580097,-73.9908378,10036,,Manhattan,New York,NY,FALSE,ChIJAXoJdQBZwokRmc14ZZhY1l8
DD Soup Dumpling & FuJi Hibachi,4.810457516,306,4.7,2822,40.757913,-73.9907,10036,,Manhattan,New York,NY,FALSE,ChIJnS6wtl9ZwokR2qWRGAD989Y
LUNAR,4.80945758,719,4.7,1218,40.7497992,-73.982317,10016,,Manhattan,New York,NY,FALSE,ChIJAa9VD55ZwokRmOsOuh5AfUs
La Caridad 72,4.8,20,4.7,436,40.7777321,-73.9800415,10023,,Manhattan,New York,NY,FALSE,ChIJo_O_AchZwokRW5SZhYoWjJ4
Hwa ShooShoo Xinjiang Fried Rice Noodles,4.779661017,59,4.7,102,40.760238,-73.8346885,11354,Flushing,Queens,,NY,TRUE,ChIJ9ybudplhwokRkSz06oLLlBE
Yum Cha Chinese Kitchen & Bar 姑苏里,4.768987342,316,4.7,934,40.729259,-73.9987795,10012,,Manhattan,New York,NY,FALSE,ChIJp3m9hEdZwokReSCOD-X9YNs
Chef Huang,4.765517241,145,4.7,347,40.7452948,-73.9757772,10016,,Manhattan,New York,NY,FALSE,ChIJiS04VWNZwokRCtm_6zu-b-w
MEILI 沉香,4.763888889,72,4.7,281,40.7208999,-73.9555685,11249,Williamsburg,Brooklyn,,NY,FALSE,ChIJL4Pjpa9ZwokR0iQiU1POKFw
Yumpling,4.763265306,245,4.7,1044,40.7430199,-73.9538229,11101,Long Island City,Queens,,NY,FALSE,ChIJKaodeNhZwokRsu8YloqftpY
江湖 烤 涮 酒坊,4.758865248,141,4.7,220,40.761293,-73.8316488,11354,Flushing,Queens,,NY,TRUE,ChIJRyasD1lhwokRsPjXI1kFs4A
Din's Kitchen,4.753968254,126,4.7,283,40.6411692,-74.007462,11220,Sunset Park,Brooklyn,,NY,FALSE,ChIJ-Re2SS1bwokRIxlWv4yIqQM
Old Luo Yang,4.742038217,314,4.7,550,40.7600179,-73.8309378,11354,Flushing,Queens,,NY,TRUE,ChIJX8kyIgxhwokRf99VrKRPwvA
Jiang Nan Flushing,4.741363212,1071,4.7,2193,40.7594242,-73.8327755,11354,Flushing,Queens,,NY,TRUE,ChIJZSvB14NhwokRR7ROmZwHvUw
JiBeiChuan Rice Noodle & Ramen 季北川花胶鸡汤米粉 Bayside 呗赛,4.735714286,140,4.7,326,40.7619767,-73.7703727,11361,Bayside,Queens,,NY,TRUE,ChIJ1ULyVcFhwokRdimG0u181Ks
Chi Restaurant & Bar,4.733913043,575,4.7,2524,40.7554594,-73.9944725,10018,,Manhattan,New York,NY,FALSE,ChIJYYpwNA5ZwokRYImQw6JRNfI
Peng's Noodle Folk,4.733333333,60,4.7,718,40.7709873,-73.9620998,10021,,Manhattan,New York,NY,FALSE,ChIJp-V3XrpYwokRwqFX-9bZQF8
Vegan Ginger Root,4.727272727,11,4.7,402,40.7624834,-73.9595604,10065,,Manhattan,New York,NY,FALSE,ChIJ_auWHehYwokROYvjW5FSPOg
